1617175800000,59370.09000000,59482.57000000,59289.47000000,59397.98000000,436.32622000,1617176699999,25919056.29593265,14124,252.41600500,14994683.51847174,0
1617176700000,59397.99000000,59397.99000000,57500.18000000,58173.83000000,2902.11478700,1617177599999,169230343.62127836,78557,1273.66267800,74274629.97040152,0
1617177600000,58173.82000000,58275.45000000,56769.00000000,57779.01000000,3282.76869300,1617178499999,188878268.38860327,85100,1463.93835900,84254336.18396007,0
1617178500000,57772.82000000,57936.93000000,57624.92000000,57811.42000000,1293.18783300,1617179399999,74745431.52335716,34221,601.10185000,34745579.42634545,0
1617179400000,57809.08000000,58141.51000000,57650.00000000,57765.08000000,904.68854600,1617180299999,52388606.25886188,26800,430.68286600,24941704.70360245,0
1617180300000,57765.05000000,58040.00000000,57734.42000000,57975.33000000,550.28121700,1617181199999,31858839.38439886,17973,301.68964300,17468481.96671770,0
1617181200000,57983.77000000,58263.87000000,57697.22000000,58164.62000000,778.19747400,1617182099999,45072342.92969520,20561,359.63884000,20846954.36049943,0
1617182100000,58164.62000000,58179.66000000,57960.31000000,58060.60000000,450.38889200,1617182999999,26156581.07472458,15243,216.75203700,12588140.44124642,0
1617183000000,58060.60000000,58063.92000000,57815.97000000,57942.36000000,534.11323000,1617183899999,30949338.04571697,14128,200.77460900,11633145.83424278,0
1617183900000,57931.70000000,58033.33000000,57800.93000000,57959.05000000,382.57098000,1617184799999,22167509.87490582,12178,152.17791600,8819262.41162965,0
1617184800000,57959.05000000,58088.66000000,57756.94000000,57913.84000000,475.89126100,1617185699999,27586536.68642950,14055,210.18280700,12185054.52841567,0
1617185700000,57913.84000000,57931.05000000,57400.00000000,57480.76000000,1009.66855600,1617186599999,58158095.37428627,24861,442.74986800,25506218.09118580,0
1617186600000,57480.77000000,57781.25000000,57254.90000000,57674.71000000,794.09641100,1617187499999,45692488.90629843,20894,404.80152100,23296931.40923047,0
1617187500000,57674.72000000,57817.45000000,57560.00000000,57718.44000000,439.80641000,1617188399999,25370278.05312519,13927,247.10623700,14256060.46444822,0
1617188400000,57718.44000000,57927.86000000,57630.63000000,57882.15000000,517.83572600,1617189299999,29935171.79033744,15751,262.55644100,15178440.06371956,0
1617189300000,57882.15000000,57983.29000000,57783.13000000,57935.11000000,407.29030400,1617190199999,23583396.14234889,13334,221.75189700,12840731.66122281,0
1617190200000,57935.10000000,58137.01000000,57834.91000000,58047.83000000,477.97206900,1617191099999,27737556.81522010,15339,234.59552500,13612426.23437313,0
1617191100000,58047.82000000,58089.03000000,57957.83000000,58015.02000000,355.27919200,1617191999999,20613241.54947682,11866,181.80153200,10548284.40393438,0
1617192000000,58015.02000000,58016.10000000,57641.06000000,57890.00000000,671.87551900,1617192899999,38862248.04640574,17810,323.07767800,18691957.34159482,0
1617192900000,57890.01000000,58326.01000000,57890.01000000,58117.82000000,860.55031500,1617193799999,50058260.29758869,21674,474.58264000,27602867.24126603,0
1617193800000,58120.45000000,58219.55000000,58021.27000000,58188.47000000,470.60660300,1617194699999,27352096.27786081,14947,218.22886700,12683788.69540064,0
1617194700000,58179.99000000,58210.30000000,58030.62000000,58159.98000000,435.43649200,1617195599999,25312702.64055798,13486,210.54737900,12240274.40587952,0
1617195600000,58159.99000000,58246.23000000,58059.02000000,58194.99000000,381.71474200,1617196499999,22200850.90235085,14359,181.38541600,10549926.38837207,0
1617196500000,58194.99000000,58575.00000000,58170.68000000,58471.99000000,792.48544000,1617197399999,46250329.63108654,25700,518.06220400,30239434.93405633,0
1617197400000,58471.98000000,58800.00000000,58376.06000000,58659.99000000,870.62588900,1617198299999,51030769.57640652,22654,444.56629600,26061220.66518870,0
1617198300000,58660.00000000,58813.10000000,58400.00000000,58598.55000000,567.19819000,1617199199999,33246888.96135155,18495,282.73501600,16573497.84425455,0
1617199200000,58598.55000000,58630.12000000,58370.20000000,58443.64000000,460.50137600,1617200099999,26937593.75200652,14141,201.88408800,11809513.07085251,0
1617200100000,58443.93000000,58680.41000000,58434.73000000,58529.74000000,363.63332400,1617200999999,21286414.98762347,14794,169.75615300,9936627.11909821,0
1617201000000,58529.75000000,58739.89000000,58500.00000000,58700.96000000,415.35756400,1617201899999,24349239.82066584,15801,214.60393400,12579489.06182412,0
1617201900000,58700.97000000,58783.63000000,58572.11000000,58588.16000000,461.72779300,1617202799999,27081514.60166695,15913,216.11251900,12675717.41819170,0
1617202800000,58588.15000000,59259.55000000,58586.73000000,59161.01000000,1257.81662800,1617203699999,74243533.25011670,37017,673.40486200,39740917.35995527,0
1617203700000,59161.00000000,59430.54000000,58999.66000000,59107.03000000,1080.21747300,1617204599999,63953189.03209622,31453,577.50490500,34193014.63513124,0
1617204600000,59107.02000000,59124.69000000,58741.36000000,59023.03000000,728.85956500,1617205499999,42985802.51890788,22645,360.87268000,21284989.71471347,0
1617205500000,59023.02000000,59393.19000000,59009.88000000,59304.75000000,783.30163300,1617206399999,46411823.94972779,23409,450.44189300,26689087.20514212,0
1617206400000,59304.76000000,59648.52000000,59135.43000000,59249.19000000,1236.37005700,1617207299999,73417854.78705683,36724,769.36907900,45696076.67696433,0
1617207300000,59249.20000000,59343.01000000,59090.30000000,59329.44000000,529.84103100,1617208199999,31378194.58422796,19545,273.47466300,16195824.59865612,0
1617208200000,59329.45000000,59414.17000000,59100.00000000,59126.06000000,629.78291600,1617209099999,37293607.51665522,21019,310.49181500,18386885.56808324,0
1617209100000,59126.07000000,59162.96000000,58782.80000000,59000.00000000,840.76025700,1617209999999,49586870.12020681,25561,404.82200100,23881389.59970664,0
